Body	radius(km)	Volume(10^9km^3)	Mass(10^21kg)	Density(g/cm^3)	Surface_gravity(m/s^2)	Type_of_object	Shape	
Jupiter 69911.000000 1431280.000000 1898600.000000 1.330000 24.790001 Planet regular
Saturn 58232.000000 82713.000000 56846.000000 0.690000 10.445000 Planet regular
Uranus 25362.000000 68342.000000 86832.000000 1.270000 8.870000 Planet regular
Neptune 24622.000000 6254.000000 10243.000000 1.640000 11.150000 Planet regular
Earth 6371.000000 1083.209961 5973.600098 5.510000 9.780330 Planet regular
Venus 6051.799805 928.429993 4868.500000 5.240000 8.872000 Planet regular
Mars 3390.000000 163.179993 641.849976 3.930000 3.700000 Planet regular
Mercury 2439.699951 60.830002 330.200012 5.430000 3.700000 Planet regular
